timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689873.5640266,-0.0522,0.0037,-1.0153,0.175,0.0263,-3.1063,-0.1543,0.2393,0.5333
1752689873.6178255,-0.0533,0.0039,-1.012,0.315,-0.1488,-3.0713,-0.156,0.2384,0.5292
1752689873.6661856,-0.0516,0.0021,-1.0125,0.1138,-0.1663,-3.2113,-0.155,0.2332,0.5317
1752689873.7198448,-0.057,0.0036,-1.0194,0.3237,-0.1138,-3.0888,-0.1574,0.2391,0.5256
1752689873.7682002,-0.0535,0.0045,-1.0109,0.175,-0.0613,-3.1063,-0.1561,0.2387,0.524
1752689873.8219368,-0.0536,0.0024,-1.011,0.2362,-0.14,-3.185,-0.1529,0.2386,0.5373
1752689873.8860903,-0.0539,0.0016,-1.0124,0.21,-0.0963,-3.1675,-0.1583,0.2335,0.5361
1752689873.9249449,-0.0514,0.0035,-1.0176,0.1488,-0.385,-2.9663,-0.1592,0.2408,0.5379
1752689873.973307,-0.0528,0.0056,-1.0119,0.3237,-0.1575,-2.8263,-0.1539,0.2388,0.5312
1752689874.0269463,-0.0547,0.0021,-1.0158,0.2187,-0.175,-3.0538,-0.156,0.2402,0.5342
1752689874.0753312,-0.0515,0.0045,-1.013,0.0088,-0.245,-3.0188,-0.1593,0.2391,0.5405
1752689874.1290069,-0.0556,0.0044,-1.0115,0.315,-0.3063,-2.975,-0.1589,0.2391,0.5316
1752689874.2096155,-0.0523,0.0028,-1.0078,0.2013,-0.1138,-3.0713,-0.1561,0.2381,0.5394
1752689874.2310843,-0.0533,0.0053,-1.0122,0.1575,-0.2713,-3.0363,-0.1557,0.2383,0.5341
1752689874.2795646,-0.0558,0.0013,-1.0167,0.315,-0.0875,-3.0888,-0.1578,0.2412,0.5303
1752689874.3341212,-0.0522,0.0048,-1.0121,0.1925,-0.0613,-3.0363,-0.1588,0.2422,0.5391
1752689874.3823886,-0.0567,0.0038,-1.0121,0.315,-0.1575,-2.9488,-0.1537,0.2376,0.5368
1752689874.4361663,-0.0534,0.0023,-1.0137,0.2187,-0.2013,-2.9575,-0.1597,0.2456,0.5341
1752689874.4845626,-0.0525,0.0033,-1.0135,0.3413,-0.0438,-2.8963,-0.1575,0.2415,0.5312
1752689874.5382628,-0.0556,0.0056,-1.0154,0.175,-0.2625,-3.1325,-0.1614,0.2457,0.5307
1752689874.5866137,-0.0529,0.003,-1.0113,0.2362,-0.2888,-3.2638,-0.1575,0.246,0.5345
1752689874.6412694,-0.0547,0.0049,-1.0146,0.1488,-0.1925,-3.1063,-0.1618,0.2409,0.5405
1752689874.6896935,-0.0527,0.0032,-1.0159,0.3938,-0.3063,-2.9488,-0.1602,0.2437,0.5327
1752689874.743288,-0.055,0.0039,-1.009,0.105,-0.1488,-3.115,-0.1599,0.2367,0.541
1752689874.7916076,-0.055,0.0029,-1.0116,0.1837,-0.1925,-3.2462,-0.1603,0.2415,0.5354
1752689874.845602,-0.0548,0.0029,-1.0128,0.2713,-0.0175,-3.255,-0.1595,0.24,0.5335
1752689874.8936648,-0.052,0.0019,-1.0135,0.4025,-0.2275,-3.15,-0.1609,0.2374,0.5323
1752689874.947393,-0.0517,0.0037,-1.0106,0.1575,-0.0263,-3.08,-0.1603,0.2432,0.5316
1752689874.996077,-0.0523,0.0032,-1.0125,0.2975,-0.0875,-3.22,-0.1557,0.2404,0.5296
